month;WAG_C_M
01.01.93;15.3
01.02.93;19.1
01.03.93;23.6
01.04.93;30.6
01.05.93;37.5
01.06.93;47.4
01.07.93;56
01.08.93;65.4
01.09.93;80.9
01.10.93;93
01.11.93;101.5
01.12.93;141.2
01.01.94;134.2
01.02.94;144.7
01.03.94;164.8
01.04.94;171.5
01.05.94;183.5
01.06.94;207.5
01.07.94;221
01.08.94;232.8
01.09.94;253.2
01.10.94;265
01.11.94;281.6
01.12.94;354.2
01.01.95;302.6
01.02.95;321
01.03.95;361.5
01.04.95;386.2
01.05.95;429.9
01.06.95;480.6
01.07.95;499.5
01.08.95;520.6
01.09.95;564.5
01.10.95;594.5
01.11.95;615.7
01.12.95;735.5
01.01.96;654.8
01.02.96;684.4
01.03.96;745
01.04.96;746.5
01.05.96;779.3
01.06.96;837.2
01.07.96;842.8
01.08.96;831
01.09.96;848.1
01.10.96;843.3
01.11.96;835
01.12.96;1017.1
01.01.97;812.2
01.02.97;821.2
01.03.97;902.9
01.04.97;901.1
01.05.97;919.7
01.06.97;993.2
01.07.97;999.1
01.08.97;982.3
01.09.97;1026.2
01.10.97;1006.1
01.11.97;997.8
01.12.97;1214.8
01.01.98;988
01.02.98;1000
01.03.98;1059
01.04.98;1040
01.05.98;1047
01.06.98;1122
01.07.98;1110
01.08.98;1052
01.09.98;1112
01.10.98;1123
01.11.98;1164
01.12.98;1482
01.01.99;1167
01.02.99;1199
01.03.99;1385
01.04.99;1423
01.05.99;1472
01.06.99;1626
01.07.99;1618
01.08.99;1608
01.09.99;1684
01.10.99;1716
01.11.99;1789
01.12.99;2283
01.01.00;1830
01.02.00;1839
01.03.00;2018
01.04.00;2039
01.05.00;2101
01.06.00;2294
01.07.00;2302
01.08.00;2289
01.09.00;2367
01.10.00;2425
01.11.00;2508
01.12.00;3025
01.01.01;2733
01.02.01;2655
01.03.01;2964
01.04.01;2923
01.05.01;3054
01.06.01;3284
01.07.01;3364
01.08.01;3376
01.09.01;3405
01.10.01;3515
01.11.01;3578
01.12.01;4541
01.01.02;3760
01.02.02;3725
01.03.02;4031
01.04.02;4110
01.05.02;4187
01.06.02;4460
01.07.02;4597
01.08.02;4511
01.09.02;4521
01.10.02;4646
01.11.02;4694
01.12.02;5738
01.01.03;4696
01.02.03;4701
01.03.03;4986
01.04.03;5100
01.05.03;5221
01.06.03;5550
01.07.03;5615
01.08.03;5491
01.09.03;5556
01.10.03;5864
01.11.03;5990
01.12.03;7344
01.01.04;5932
01.02.04;6141
01.03.04;6428
01.04.04;6448
01.05.04;6524
01.06.04;7003
01.07.04;6982
01.08.04;6873
01.09.04;6918
01.10.04;6908
