region,west,east,south,north,cluster
1075,-74.0222464,-74.0111348,40.6974368,40.705825,2
1076,-74.0222464,-74.0111348,40.705825,40.7142132,2
1077,-74.0222464,-74.0111348,40.7142132,40.7226014,2
1125,-74.0111348,-74.0000232,40.6974368,40.705825,2
1126,-74.0111348,-74.0000232,40.705825,40.7142132,2
1127,-74.0111348,-74.0000232,40.7142132,40.7226014,2
1128,-74.0111348,-74.0000232,40.7226014,40.7309896,0
1129,-74.0111348,-74.0000232,40.7309896,40.7393778,0
1130,-74.0111348,-74.0000232,40.7393778,40.747766,0
1131,-74.0111348,-74.0000232,40.747766,40.7561542,2
1132,-74.0111348,-74.0000232,40.7561542,40.7645424,2
1172,-74.0000232,-73.9889116,40.6722722,40.6806604,1
1173,-74.0000232,-73.9889116,40.6806604,40.6890486,1
1174,-74.0000232,-73.9889116,40.6890486,40.6974368,1
1175,-74.0000232,-73.9889116,40.6974368,40.705825,1
1176,-74.0000232,-73.9889116,40.705825,40.7142132,0
1177,-74.0000232,-73.9889116,40.7142132,40.7226014,0
1178,-74.0000232,-73.9889116,40.7226014,40.7309896,0
1179,-74.0000232,-73.9889116,40.7309896,40.7393778,2
1180,-74.0000232,-73.9889116,40.7393778,40.747766,2
1181,-74.0000232,-73.9889116,40.747766,40.7561542,2
1182,-74.0000232,-73.9889116,40.7561542,40.7645424,2
1183,-74.0000232,-73.9889116,40.7645424,40.7729306,2
1184,-74.0000232,-73.9889116,40.7729306,40.7813188,2
1221,-73.9889116,-73.9778,40.663884,40.6722722,0
1222,-73.9889116,-73.9778,40.6722722,40.6806604,0
1223,-73.9889116,-73.9778,40.6806604,40.6890486,0
1224,-73.9889116,-73.9778,40.6890486,40.6974368,0
1225,-73.9889116,-73.9778,40.6974368,40.705825,1
1227,-73.9889116,-73.9778,40.7142132,40.7226014,0
1228,-73.9889116,-73.9778,40.7226014,40.7309896,0
1229,-73.9889116,-73.9778,40.7309896,40.7393778,0
