BeltAmpere_belt1,BeltAmpere_belt1_qc,BeltAmpere_belt2,BeltAmpere_belt2_qc,BeltAmpere_belt3,BeltAmpere_belt3_qc,Cumulative_LIN_flow,Cumulative_LIN_flow_qc,Cumulative_product_flow,Cumulative_product_flow_qc,FanAmpere_exhaust1,FanAmpere_exhaust1_qc,FanAmpere_exhaust2,FanAmpere_exhaust2_qc,FanAmpere_side,FanAmpere_side_qc,FanAmpere_top,FanAmpere_top_qc,Fanspeed_exhaust1,Fanspeed_exhaust1_qc,Fanspeed_exhaust2,Fanspeed_exhaust2_qc,Fanspeed_side,Fanspeed_side_qc,Fanspeed_top,Fanspeed_top_qc,LIN_flow,LIN_flow_qc,Product_flow,Product_flow_qc,ResidenceTime_belt1,ResidenceTime_belt1_qc,ResidenceTime_belt2,ResidenceTime_belt2_qc,ResidenceTime_belt3,ResidenceTime_belt3_qc,Temp_exhaust_in,Temp_exhaust_in_qc,Temp_exhaust_out,Temp_exhaust_out_qc,Temp_product_in,Temp_product_in_qc,Temp_product_out,Temp_product_out_qc,Temp_tunnel_measured,Temp_tunnel_measured_qc,Temp_tunnel_set,Temp_tunnel_set_qc,Vanne_opening_rate,Vanne_opening_rate_qc,_time
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:07:32.645Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388372,0,210730,0,3.0142243,0,3.5667083,0,0,0,0,0,100,0,100,0,0,0,0,0,197.06265,0,1.1753991e-34,0,0,0,0,0,0,0,12.7,0,12.2,0,0,0,0,0,10.8,0,0,0,0,0,"2020-09-16T00:08:32.682Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388376,0,210730,0,2.981058,0,3.5077941,0,0,0,0,0,100,0,100,0,0,0,0,0,179.66928,0,1.1753991e-34,0,0,0,0,0,0,0,12.9,0,12.6,0,0,0,0,0,10.9,0,0,0,0,0,"2020-09-16T00:09:32.686Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:10:32.658Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388382,0,210730,0,3.0129151,0,3.5200136,0,0,0,0,0,100,0,100,0,0,0,0,0,187.73546,0,1.1753991e-34,0,0,0,0,0,0,0,13.3,0,13.1,0,0,0,0,0,11.3,0,0,0,0,0,"2020-09-16T00:11:32.683Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:12:32.676Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388389,0,210730,0,3.055246,0,3.5339782,0,0,0,0,0,100,0,100,0,0,0,0,0,199.44502,0,1.1753991e-34,0,0,0,0,0,0,0,13.6,0,13.3,0,0,0,0,0,11.6,0,0,0,0,0,"2020-09-16T00:13:32.714Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:14:55.575Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:15:34.136Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:16:34.145Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388402,0,210730,0,2.9980774,0,3.4724457,0,0,0,0,0,100,0,100,0,0,0,0,0,189.10225,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.8,0,0,0,0,0,12,0,0,0,0,0,"2020-09-16T00:17:32.697Z"
0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,0,-2138963968,"2020-09-16T00:18:54.688Z"
0.0024414062,0,0.0018310547,0,0.0024414062,0,388408,0,210730,0,3.007242,0,3.4807374,0,0,0,0,0,100,0,100,0,0,0,0,0,180.08717,0,1.1753991e-34,0,0,0,0,0,0,0,14.1,0,13.9,0,0,0,0,0,12.1,0,0,0,0,0,"2020-09-16T00:19:32.714Z"
0.0024414062,0,0.0024414062,0,0.0024414062,0,388411,0,210730,0,3.0185883,0,3.502121,0,0,0,0,0,100,0,100,0,0,0,0,0,193.25536,0,1.1753991e-34,0,0,0,0,0,0,0,14.2,0,14,0,0,0,0,0,12.2,0,0,0,0,0,"2020-09-16T00:20:31.286Z"
