Addr: 2 ; Command: 1 ; Pressure: 0,1722565 kPa ; Time: 22:29:42.345 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:29:43.342 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1752014 kPa ; Time: 22:29:44.368 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1769638 kPa ; Time: 22:29:45.378 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1794357 kPa ; Time: 22:29:46.389 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1764374 kPa ; Time: 22:29:47.386 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1752243 kPa ; Time: 22:29:48.402 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1769638 kPa ; Time: 22:29:49.404 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740723 kPa ; Time: 22:29:50.402 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722565 kPa ; Time: 22:29:51.419 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722412 kPa ; Time: 22:29:52.454 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722336 kPa ; Time: 22:29:53.439 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746140 kPa ; Time: 22:29:54.454 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1758194 kPa ; Time: 22:29:55.458 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746292 kPa ; Time: 22:29:56.469 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1752014 kPa ; Time: 22:29:57.455 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740952 kPa ; Time: 22:29:58.454 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746521 kPa ; Time: 22:29:59.466 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:30:00.493 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746674 kPa ; Time: 22:30:01.542 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:30:02.496 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:30:03.497 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:30:04.501 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1752014 kPa ; Time: 22:30:05.502 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1769562 kPa ; Time: 22:30:06.506 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1782074 kPa ; Time: 22:30:07.504 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1769562 kPa ; Time: 22:30:08.514 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1763916 kPa ; Time: 22:30:09.510 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1776657 kPa ; Time: 22:30:10.504 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1758499 kPa ; Time: 22:30:11.493 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1758728 kPa ; Time: 22:30:12.499 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1758728 kPa ; Time: 22:30:13.495 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746826 kPa ; Time: 22:30:14.495 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1735840 kPa ; Time: 22:30:15.495 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1711121 kPa ; Time: 22:30:16.537 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1711121 kPa ; Time: 22:30:17.524 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1717377 kPa ; Time: 22:30:18.568 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1741257 kPa ; Time: 22:30:19.537 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1729965 kPa ; Time: 22:30:20.534 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710892 kPa ; Time: 22:30:21.536 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710663 kPa ; Time: 22:30:22.536 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710815 kPa ; Time: 22:30:23.534 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710663 kPa ; Time: 22:30:24.535 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710663 kPa ; Time: 22:30:25.534 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1693878 kPa ; Time: 22:30:26.535 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1693649 kPa ; Time: 22:30:27.540 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1705017 kPa ; Time: 22:30:28.554 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1705017 kPa ; Time: 22:30:29.539 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1710434 kPa ; Time: 22:30:30.554 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1699219 kPa ; Time: 22:30:31.528 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1704941 kPa ; Time: 22:30:32.530 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722260 kPa ; Time: 22:30:33.533 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1735077 kPa ; Time: 22:30:34.549 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740799 kPa ; Time: 22:30:35.588 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1735153 kPa ; Time: 22:30:36.550 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740723 kPa ; Time: 22:30:37.568 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740723 kPa ; Time: 22:30:38.566 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1752090 kPa ; Time: 22:30:39.583 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1735077 kPa ; Time: 22:30:40.597 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722336 kPa ; Time: 22:30:41.574 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722107 kPa ; Time: 22:30:42.588 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716843 kPa ; Time: 22:30:43.601 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1735077 kPa ; Time: 22:30:44.576 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722412 kPa ; Time: 22:30:45.581 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1704712 kPa ; Time: 22:30:46.593 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1687012 kPa ; Time: 22:30:47.584 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1681519 kPa ; Time: 22:30:48.585 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1693268 kPa ; Time: 22:30:49.577 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716614 kPa ; Time: 22:30:50.579 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716385 kPa ; Time: 22:30:51.593 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722031 kPa ; Time: 22:30:52.655 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1740494 kPa ; Time: 22:30:53.613 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1763840 kPa ; Time: 22:30:54.626 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1763611 kPa ; Time: 22:30:55.625 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1769409 kPa ; Time: 22:30:56.626 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1757965 kPa ; Time: 22:30:57.639 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1746140 kPa ; Time: 22:30:58.623 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1729050 kPa ; Time: 22:30:59.623 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716385 kPa ; Time: 22:31:00.638 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716156 kPa ; Time: 22:31:01.636 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1704407 kPa ; Time: 22:31:02.620 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1709824 kPa ; Time: 22:31:03.663 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722107 kPa ; Time: 22:31:04.662 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722031 kPa ; Time: 22:31:05.659 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1716385 kPa ; Time: 22:31:06.658 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722031 kPa ; Time: 22:31:07.673 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1734772 kPa ; Time: 22:31:08.659 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1722031 kPa ; Time: 22:31:09.663 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1729126 kPa ; Time: 22:31:10.655 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1704483 kPa ; Time: 22:31:11.680 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1693115 kPa ; Time: 22:31:12.691 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1698761 kPa ; Time: 22:31:13.707 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1686859 kPa ; Time: 22:31:14.706 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1668777 kPa ; Time: 22:31:15.706 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1657410 kPa ; Time: 22:31:16.704 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1645432 kPa ; Time: 22:31:17.705 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1628647 kPa ; Time: 22:31:18.704 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1651840 kPa ; Time: 22:31:19.718 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1657486 kPa ; Time: 22:31:20.733 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1651840 kPa ; Time: 22:31:21.734 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1668625 kPa ; Time: 22:31:22.747 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1657257 kPa ; Time: 22:31:23.751 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1668625 kPa ; Time: 22:31:24.758 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1681137 kPa ; Time: 22:31:25.764 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1686554 kPa ; Time: 22:31:26.754 ; Date: 27.11.2020
Addr: 2 ; Command: 1 ; Pressure: 0,1704178 kPa ; Time: 22:31:27.749 ; Date: 27.11.2020
