Addr: 4 ; Command: 1 ; Pressure: -98,3390800 kPa ; Time: 22:29:42.655 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396500 kPa ; Time: 22:29:43.681 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396500 kPa ; Time: 22:29:44.682 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3390800 kPa ; Time: 22:29:45.687 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3385000 kPa ; Time: 22:29:46.700 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374300 kPa ; Time: 22:29:47.714 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3390800 kPa ; Time: 22:29:48.720 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396600 kPa ; Time: 22:29:49.716 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379400 kPa ; Time: 22:29:50.726 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379400 kPa ; Time: 22:29:51.730 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374300 kPa ; Time: 22:29:52.768 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379400 kPa ; Time: 22:29:53.752 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379500 kPa ; Time: 22:29:54.766 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3368000 kPa ; Time: 22:29:55.765 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:29:56.764 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:29:57.762 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:29:58.769 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:29:59.792 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:30:00.809 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3333900 kPa ; Time: 22:30:01.824 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3310800 kPa ; Time: 22:30:02.815 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316600 kPa ; Time: 22:30:03.812 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316600 kPa ; Time: 22:30:04.818 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3323100 kPa ; Time: 22:30:05.816 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328200 kPa ; Time: 22:30:06.818 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351300 kPa ; Time: 22:30:07.816 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357100 kPa ; Time: 22:30:08.823 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357200 kPa ; Time: 22:30:09.821 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374600 kPa ; Time: 22:30:10.816 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396800 kPa ; Time: 22:30:11.814 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396800 kPa ; Time: 22:30:12.808 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379500 kPa ; Time: 22:30:13.808 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374500 kPa ; Time: 22:30:14.807 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:30:15.805 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:16.851 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:17.838 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3323300 kPa ; Time: 22:30:18.850 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3316800 kPa ; Time: 22:30:19.848 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328400 kPa ; Time: 22:30:20.847 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:21.846 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:22.847 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345800 kPa ; Time: 22:30:23.849 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:24.845 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:25.847 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357000 kPa ; Time: 22:30:26.848 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:30:27.850 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367800 kPa ; Time: 22:30:28.850 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3367800 kPa ; Time: 22:30:29.852 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379300 kPa ; Time: 22:30:30.866 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3390700 kPa ; Time: 22:30:31.842 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3396500 kPa ; Time: 22:30:32.842 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3408200 kPa ; Time: 22:30:33.844 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3391000 kPa ; Time: 22:30:34.866 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3402600 kPa ; Time: 22:30:35.880 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3379500 kPa ; Time: 22:30:36.864 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3374500 kPa ; Time: 22:30:37.864 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3357200 kPa ; Time: 22:30:38.911 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3362900 kPa ; Time: 22:30:39.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351400 kPa ; Time: 22:30:40.883 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:41.899 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3328400 kPa ; Time: 22:30:42.901 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:43.919 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345600 kPa ; Time: 22:30:44.900 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:30:45.899 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3334000 kPa ; Time: 22:30:46.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3339800 kPa ; Time: 22:30:47.897 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3351200 kPa ; Time: 22:30:48.898 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3356900 kPa ; Time: 22:30:49.894 ; Date: 27.11.2020
Addr: 4 ; Command: 1 ; Pressure: -98,3345500 kPa ; Time: 22:30:50.891 ; Date: 27.11.2020
